Ambient_Temp_C,Total_Load_kW,Current_Temp_C,Future_Temp_30Min_C
29.4,51.1,48.2,57.8
43.8,46.6,63.6,72.6
38.3,29.4,52.7,56.8
35.0,76.8,63.2,80.8
23.9,62.4,52.3,64.2
23.9,105.2,65.7,83.3
21.5,13.5,24.9,31.6
41.7,80.8,75.5,91.5
35.0,93.9,71.7,90.7
37.7,93.5,75.0,97.1
20.5,107.5,62.7,83.5
44.2,90.2,78.7,99.5
40.8,112.1,87.1,109.6
25.3,46.6,43.4,51.2
24.5,65.4,47.8,64.4
24.6,11.5,30.3,34.0
27.6,10.8,29.5,33.4
33.1,36.4,45.4,53.8
30.8,21.1,41.6,46.7
27.3,38.6,40.3,46.8
35.3,29.5,42.5,49.3
23.5,13.1,30.0,31.2
27.3,110.0,70.7,91.8
29.2,10.9,33.1,36.0
31.4,91.0,67.2,88.1
39.6,26.7,50.8,55.8
25.0,110.3,67.6,90.6
32.9,108.2,79.1,99.8
34.8,81.9,64.6,82.1
21.2,83.9,55.6,74.3
35.2,100.5,91.4,113.6
24.3,118.3,70.1,95.9
21.6,106.6,62.2,83.9
43.7,108.5,89.1,110.7
44.1,82.5,75.2,93.9
40.2,47.9,58.2,69.6
27.6,108.3,72.7,95.0
22.4,42.1,39.3,47.5
37.1,71.9,62.3,79.5
31.0,21.0,42.9,46.4
23.1,111.4,66.6,91.2
32.4,25.5,41.8,47.0
20.9,34.7,35.3,40.9
42.7,71.4,72.5,89.8
26.5,94.1,68.0,87.6
36.6,78.1,64.5,80.2
27.8,35.5,43.7,48.9
33.0,10.1,38.5,38.6
33.7,93.3,70.7,89.8
24.6,118.4,73.5,101.1
44.2,99.1,85.7,105.5
39.4,60.6,60.9,76.0
43.5,109.4,90.8,113.2
42.4,55.1,61.3,71.4
34.9,67.7,59.8,73.5
43.0,62.5,67.5,78.8
22.2,59.2,49.8,60.5
24.9,95.3,62.4,81.1
21.1,67.9,48.2,59.7
28.1,44.8,48.9,60.3
29.7,38.4,44.5,52.9
26.8,14.2,30.1,32.3
40.7,74.2,69.5,85.5
28.9,35.3,45.8,51.7
27.0,26.3,37.7,39.2
33.6,81.9,70.2,91.4
23.5,84.9,59.0,76.9
40.1,92.7,75.9,94.6
21.9,65.4,48.1,58.9
44.7,108.3,86.3,107.0
39.3,113.0,83.2,109.5
25.0,105.9,94.7,112.8
20.1,79.9,54.1,71.8
40.4,43.4,59.5,66.7
37.7,118.1,83.7,110.9
38.2,40.2,57.4,66.2
39.3,32.3,54.4,61.9
21.9,58.6,49.1,61.7
29.0,16.3,39.1,39.9
22.9,117.6,67.0,90.2
41.6,74.7,69.2,84.4
